particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
second_lepton,L2_ch160:192,label_Tbl,3,0.8335594566718214,3,0.7280697951704459,23,-1.2081320340925898,-0.10548966150137551,1.9362018292630356,0.03592725147502977,0.0,0.20424927556730169,anomalous_third_topology_candidate
particle0_best_lepton,L2_ch0:32,label_Tbl,30,4.433033257455062,10,4.274335732097147,107,5.362930278242269,-0.1586975253579146,-1.0885945461451216,0.0759829262461781,0.0,0.17275726059135296,anomalous_third_topology_candidate
hadron_neighbor,L2_ch224:256,label_Tbl,4,3.7593728849301016,4,3.995071840830242,23,4.525944457509685,0.23569895590014056,-0.5308726166794431,0.15396379380760372,0.0,0.12512612146732027,anomalous_third_topology_candidate
hard_hadron,L2_ch0:32,label_Hqql,31,2.4259539545503905,6,2.2792536494950824,61,1.9462288495865248,-0.14670030505530818,0.3330247999085576,0.0,0.14670030505530818,0.048854839737568365,source_evidence_loss_candidate
hadron_neighbor,L2_ch0:32,label_Tbl,5,1.3239367771882145,7,1.5425566617253565,39,1.0523056436808678,0.2186198845371421,0.4902510180444888,0.1467000403891793,0.0,0.10717862095910251,anomalous_third_topology_candidate
hadron_neighbor,L2_ch0:32,label_Hqql,5,1.7091874828271003,7,1.9819660166888562,39,1.5521540733575405,0.2727785338617559,0.42981194333131567,0.0,0.0,0.11724347173818839,anomalous_third_topology_candidate
hadron_neighbor,L2_ch32:64,label_Tbl,8,0.007525537232462076,6,0.1352326709561531,45,1.0028482541213968,0.12770713372369102,-0.8676155831652437,0.06837977519295077,0.0,0.11080069930004194,anomalous_third_topology_candidate
hardest_hadron,L2_ch128:160,label_Tbl,15,2.6183795878961336,3,2.5135863857610894,41,2.5337633389695227,-0.10479320213504417,-0.020176953208433268,0.1027206131303711,0.0,0.0021144075360406754,target_like_trigger_candidate
hadron_neighbor,L2_ch128:160,label_Tbl,11,2.1082296981399016,4,2.2037736861089705,52,2.195007442487618,0.09554398796906893,0.008766243621352476,0.09471370456060982,0.0,0.0008375618750924283,weak_or_unclear
photon_neighbor,L2_ch32:64,label_Hqql,15,-0.029688801425535812,1,-0.11638677534497788,41,-0.354734949541148,-0.08669797391944206,0.2383481741961701,0.0,0.08669797391944206,0.02066430379020619,weak_or_unclear
hardest_hadron,L2_ch32:64,label_Hqql,14,0.16597947425086648,3,0.5280617968506126,44,0.7559446153966725,0.36208232259974615,-0.22788281854605985,0.0,0.0,0.08251234021973386,weak_or_unclear
photon_neighbor,L2_ch32:64,label_Tbl,15,0.16584498949738252,1,0.08394775689566814,41,1.0062387578830558,-0.08189723260171439,-0.9222910009873877,0.042603972322425555,0.0,0.07553308063433209,weak_or_unclear
hard_hadron,L2_ch160:192,label_Tbl,20,0.7713735397825925,4,0.7449751740913859,26,-0.16456887064493103,-0.02639836569120657,0.909544044736317,0.013824434039096407,0.0,0.024010476305208445,weak_or_unclear
hadron_neighbor,L2_ch160:192,label_Tbl,17,0.3572487151794615,6,0.3821199339146612,71,1.2866296556001475,0.024871218735199707,-0.9045097216854863,0.013059118812577519,0.0,0.02249625913615434,weak_or_unclear
hardest_hadron,L2_ch128:160,label_Hqql,15,2.628856529294774,3,2.637974882915264,41,0.8630249634050693,0.009118353620489739,1.7749499195101945,0.0,0.0,0.01618462102475375,weak_or_unclear
